StartDate,EndDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q13,Q14,Q15,Q16,Q17,Q18,Q26,Q27,Q28,Q29,Q20,Q21,Q18.1,Q19
2025,2025,11,d021b2e6eda401f795faddfa3d7bd5e559fa458b973b113e4ff6643b6da61d34,42.780499999999996,-89.4923,,,,,,,,,,,,,,,,,,,,,
2025,2025,36,1cab4557741ee763d960a629350156b8590462a6d6188b567ce062c1c6623ce9,36.7595,-95.29469999999999,6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Never,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
2025,2025,74,7bbf0ccfea1454bac9a4d4ffa0d079dbff840fefad510de4dc8ff510faea7500,51.9759,-1.8685,c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Never,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
2025,2025,43,d45604a6be40d49805f97577fa2b8bcb3680362324ab83deac9bb9b9b44c63dd,43.6362,-120.2847,9c5b42df3203a81a70ea12998f2d28fee1d90d78f8eafd0013b83f48717c60e9,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Never,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
2025,2025,69,d3c37726e9c85e91e853c4e2d445f4d1a36766de6395cefc94944d78a69a8950,43.0284,-82.9864,8fd5d407c80b93e07e303f68d4e9a359915c598c244a3cb6afa0e9b5c331f2aa,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,2-4 days a month,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
2025,2025,72,91002b8546f7fd9a058243a547d255cb9806e68fa601776227c4a97e517b5848,45.9735,-122.8741,68e9369695b661f480a52f3a8817f34c706e69682e9555d10b612e51172ec07d,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,8 or more days a month,3-4 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,85,079a66917f9e69d4565f7a1e06bf7a1ca88effbe099e138829a3aed0f8e70d63,43.020599999999995,-77.0992,6eda5ee338b7e3ec883c9b0abc31cec1cb49eebd663ce53608737dd7e917e2bd,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Never,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
2025,2025,77,3f4aebb91caed23014db7b69b44c1149414bf389209216e31ffb4d6fd541b737,39.249900000000004,-121.6151,506fb95b78aa3d050d5a1400de996c6ff4ee098b28a247b202c4e9603e0bb30f,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Never,1-2 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,71,fb19b7f87eb7729277ebd379d15fcbbc3de04fe96723c8146d412bb4d5abe1e6,40.9726,-73.9466,e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,0-1 days a month,1-2 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,117,d6363c1da690391ed0eee4cef9991675da95bb611254242082c884712bfd0867,36.8237,-81.213,1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Never,1-2 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,113,680ddd639e2de79d413c8fec18590f7133207203c5a1e520179264fe10918219,32.8088,-79.606,8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,0-1 days a month,1-2 rides in a typical day,0-1 days a month,1-2 rides in a typical day,,,,
2025,2025,84,a541da8db874e6c01595edfb1801c911c88e55ee781afac22b09274a3e5f4985,35.0859,-88.3867,137ea28d8a52bd0c74770beb8bbc58d714e271ac863185ae0fb5848cbdd8d4b7,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,8 or more days a month,1-2 rides in a typical day,2-4 days a month,1-2 rides in a typical day,,,,
2025,2025,63,42451b5437997bc7acc28de63feadf7175126848cfcf1be519a679946a08c0cb,42.0725,-97.1292,e0c7f7fdb941d16c191a2c26f534fa43364445ac13d977c415289f443db4a1d8,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Never,1-2 rides in a typical day,Never,1-2 rides in a typical day,,,,
2025,2025,87,0fde7e56e5d279afd27a55d34f8d2b77cad0dd60d8794da1cdb00d642a275b1d,34.536500000000004,-116.728,76d05dd5ad4b4e56b6bcf3332a5176a5e7d9447a037db50a9ae6cbeb2925abdb,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,8 or more days a month,3-4 rides in a typical day,8 or more days a month,1-2 rides in a typical day,,,,
2025,2025,57,4fa4485dff84ca9ddfe7202bc46b76ed857f22bcd8c7bec75c3969457c2380bf,33.9156,-83.4325,d1085bc24a7fe88b0d48a1501dbcd444ede1c0f1f134a5a05898a6bc84d7cf18,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Never,,0-1 days a month,1-2 rides in a typical day,,,,
2025,2025,66,c91a467a97ed603c46c2aca1b959e49a8292b33680780f896aa4e635bb4baa52,47.4291,-92.5238,ca7c0b1f54ed53340b4a2e3adc2e5cb5284bd9541ec49cfd4ed9c42418fdc077,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,4-8 days a month,1-2 rides in a typical day,4-8 days a month,1-2 rides in a typical day,,,,
