q_transport_pref_text,highest_transport
i drive myself i have my own space and freedom and i can choose my own route and schedule without having to wait plus i really enjoy driving,rideshare
i prefer a car to get around because i like driving and it helps me to have the independence i like if i was in a busy city like chicago i would prefer a train or uber,rideshare
i prefer to be able to drive i like being in control of where i am going,public_transit
if youre trying to get around downtown madison i would recommend taking the buswalking the bus in madison is pretty reliable and it makes it less of a hassle to find parking,public_transit
my ideal way to get around my city is by using a combination of the subway and walking public transportation is usually fast affordable and avoids traffic congestion while walking allows me to enjoy the surroundings and get some exercise this combination is convenient environmentally friendly and helps me save both time and money,public_transit
i prefer using the bus in madison response differs in every other city because the city layout was made for pedestrians and buses drivers suck here,public_transit
"walk i enjoy walking because it is simple free and good for my health it also gives me a chance to enjoy the fresh air and see interesting places that i might miss if i traveled by car or bus when the weather is nice walking helps me relax and reduce stress
",public_transit
i prefer biking because its more convenient faster and easy to do when the weather is fair when weather is not very conducive to biking i prefer the bus to avoid dealing with parking and driving,public_transit
take the bus because its convenient and not expensive,public_transit
my preference is by train or bus because its more environmentally friendly it reduces the traffic and is generally faster than driving,public_transit
i prefer subway because its fast reliable and avoids traffic jams,public_transit
biking is ideal because it is fun i dont have to waste gas and i dont need to wait on public transport,NA
i prefer to drive myself where i need to go since i am the one in control of driving,public_transit
i think it is probably by train just because i can relax and not have to think about being stuck in traffic or finding somewhere to park it also puts you in the centre of the city,public_transit
i like driving my own car it feels more convenient and safer,NA
a hybird of car and public transportation,public_transit
i prefer to drive since there is limited public transit and is not walkable,NA
ive always been a walker and love walking wherever i can as you get to discover newly opened shopscafesrestaurants on your usual routes,public_transit
i like the subway as it gets me where i need,public_transit
walking its healthy relaxing good for the environment,public_transit
car is the best option as public transport is poor and not fit for purpose,public_transit
i would love to have automated cars everywhere similar to taxis hop in and be driven to my location without having to spend the energy driving,public_transit
i prefer to drive my own car in my city now because it is not busy when i lived on a college campus i preferred the bus,NA
own car is the easiest way to get around the city,NA
i prefer taking the subway over taking the bus or the streetcars because its more frequent and quicker in my opinion,public_transit
turn over the best way to get around in my town is either to drive or to take ride shift but when i need to go out of town i generally take the public computer train,NA
if its within walking distance ill walk that way i dont have to worry about getting stuck in traffic or parking fees,public_transit
i would love to live in a place with more reliable and convenient public transit so that i could get rid of my car entirely,public_transit
i prefer to drive its the quickest and easiest way for me,NA
i think the best way to get around my city is a public bus the public bus allows you to see all the sighs whilst you are on the trip and it is also the quickest for me,public_transit
i really love to walk where it is walkable the subway is cool as are the city bike rentals however there are not enough bike lanes these modes are great because they help familiarize you with the city rather than just sitting closed off in a car all the time,public_transit
i enjoy walking becasue it allows me to feel and breath the city both the sights and sounds also use public transport becasue its quick easy and cheap,NA
rideshare because its usually affordable and much safer than my citys transit currently,NA
the ideal way to get around the city is using the bus since you dont have to fuel your car up and you dont have to check it to make sure it still works in the first place,NA
i prefer to drive my car when feasible but i will use public or private transportation when i feel it is a better option,NA
it depends on where im going or doing but likely driving as its quicker and more convenient unless its really busy or i plan on being with friends in which we may enjoy walking,public_transit
i take public transportation or my boyfriend drives me,public_transit
living in america my ideal way to get around is unfortunately driving a personal car we do not have the right infrastructure for proper public transportation,rideshare
the ideal way for me to get around my city is to drive because i have a license it offers me the most flexibility and freedom and i enjoy driving,rideshare
my ideal way to get around the city is by foot you can see much more if longer distances i would choose my own vehicle,rideshare
i would love a very cheap integrated system of tram train and bus but realistically car is the best method currently,NA
i like small walkable places if a city is larger i like when there are good reasonably priced parking areas,public_transit
i prefer driving my own personal car because i can make my own schedule,NA
my own car its the ultimate sense of freedom,public_transit
walking or taking an uber  driving in the city is too much of a hassle  if you dont have to go far walk  if you have far to go take a can or an uber,rideshare
my ideal way is my own car its faster and more convenient,public_transit
drive myself that way i am in control,rideshare
my preferred way of transit is my electric bike for shorter commutes and my car for all day excursions if im out of town ill use rideshare or uber for the convenience so i can lend my vehicle while im gone,public_transit
by car because there is no public transport available where i live,public_transit
i like to use trains they are most convenient,public_transit
i live in london and i always love using the tube it gets me from ab super easily and i know it runs reliably enough taking a bus is also quite fun because it means i can see a bit more of the city compared to the underground walking is nice too but london is so large sometimes you cant walk where you want to,public_transit
i like to walk around my city where i can i will then use taxis and bus to get quickly from place to place,public_transit
public transport because its cheap and quick,public_transit
ive got a car thats been my main mode of transportation for the last 10 years  and ive always relied on my own motor for getting around  i live on the outskirts of town and theres no public transportation that comes anywhere near us and it would be super expensive to take an uber or cab every day,NA
i would normally walk in my town as it is fairly walkable it would be the same in the 2 closest cities as well although i may take the train there for longer distances,public_transit
unfortunately i do not know i am new to my city so i have just been getting around by car,NA
car because my community is very rural,NA
my ideal way to get around the city is to use as much public transportation as possible railways and metro would be my first choice in public transportation followed by buses if neither of those are available i would choose to use my own private vehicle,NA
i love public transportation and take the bus and light rail as my number 1 option and walk mostly everywhere that im able to,public_transit
my favorite way to get around the city is either train or though ride share services its more calm and relaxed and easily available where i live,public_transit
if a city had good public transportation and a walkable city that would be ideal,public_transit
uber is my usual choice especially at night the city isnt safe anymore so walking is rare,rideshare
i drive out car its easier to get where i want to go and arriveleave when i want to,NA
driving yourself is really the only way to get around in my city theres isnt much public transportation available,NA
in my local small town i drive my own car around as its much easier for me however when i am in a larger urban area where traffic is more intense and parking is limited or expensive i will use taxis or ubers,NA
my ideal way to get around my city would be to take public transportation i strongly believe that we should all be doing the best we can for the environment unfortunately i live in a rural area that doesnt offer much in public transportation and so i am left with no choice but to drive my own car,NA
my ideal way to get around my city is taking public transportation whether it be the bus or train living in chicago its the best form of transportation we have the cta which connects to all over the city and neighborhoods outside of it arrival times can easily be found on the cta tracker website making planning easy,public_transit
my ideal way to get around my city is definitely by car as the public transport within my city is very unreliable and quite busy due to this and living in a busy area,public_transit
i prefer to use my own vehicle for transportation around my city we are largely overcrowded and it can be difficult to get onto public transport ie bus uber lifts etc the only negative to driving my own vehicle is that it is not always easy to park due to lack of parking spaces,public_transit
i mostly prefer using rideshare apps this is because i think they know the city so well than i do,rideshare
i like to walk around my city because it allows me to see the sights and be present in the moment,NA
i use google maps because it is tested and trusted,NA
i like using transports strategically so i dont get cramed into a busy bus i like to chose times when their are no pasengers interupting my comfort  in the hurying to their daily routing like going to school or work,public_transit
i like to drive my car when getting around the city,public_transit
my ideal way to get around the city is when i am driving myself and using google map,public_transit
my ideal way to get around the city is on the public transit its more economically sound i get to just enjoy the view and even meditate and i get anxiety in traffic during rush hours when im driving,public_transit
my ideal way is driving to get around unfortunately the public transportation isnt the best so it is easier to drive,public_transit
ideally i would like an integrated public transport system,public_transit
walking i can take my time take my own route and not have to worry about traffic or public transport delays,public_transit
my ideal way to get around my city is by driving a car it gives me the freedom to travel whenever i want without depending on bus schedules or waiting for rides sometimes i get bored and want to see or meet new people i take the train bus or ride the bus or train also helps me to save,NA
depending on the city really  if in london i would use the tube,NA
driving myself is ideal because im not dependent on anyone elses schedule and i can go where i want when i want to in a short amount of time,public_transit
i would prefer to either drive around my city or if its downtown then walk around the city one is healthier and allows you to see everything driving is faster and more convenient,NA
i drive a car and i prefer it because i enjoy being able to be in my own space,rideshare
i prefer to drive me car as i dont like being in too much traffic while using public transportation,public_transit
my ideal way is to drive my own car as it feels more like an adventure and freedom fulfilling although parking can become a problem that is a part of the fun almost for me driving in a city allows me to get around whenever and wherever i want in my own comfortable space and it almost feels like an extension of home,NA
i prefer driving myself it is convenient with every stop i need and also incase i have luggage,rideshare
my car because its my own and i can turn the ac and seat heaters up and play my own music,NA
i love to go by bus or train because its aordable and simple,rideshare
when i was living in nyc for several years i loved taking the subway ive since moved to another city with less robust public transportation offerings but the city is also much smaller and i can get to nearly everything i need by foot otherwise ill take a bus if my destination is off a bus line or if its not or its a weird time of day and there are no bus lines ill take a lyft as my least preferred method,NA
by car we live in a rural area so not difficult to park or cope with the traffic buses are not very frequent and dont run late into the evenings,NA
if its my own town i prefer to walk there if im going further afield i much prefer to take the train than drive myself,NA
my ideal ways to get around my city are ways that dont involve interacting with strangers going out with my parents by car or alone walking bikin these are my ideal ways,public_transit
i like to drive i usually have a mental plan of how i want to do things and driving lets me be in control not to mention that ive never been on any public transportation not even a school bus,NA
i prefer to walk i am very lucky that i live local to my city centre and i have some fantastic woods and walks i walk to work which i love,NA
i prefer to drive myself around my city that way no one can complain about my driving which is less than ideal,NA
using my car is the best way to get around my city i follow my own schedule and do not have to up with people,rideshare
my ideal way is to use my own car because it provides the flexibility i need when traveling in and around my city,NA
i prefer to drive a vehicle by myself im an introvert and i prefer to be alone i dont like to be driven around when i can do it myself,NA
i would prefer to get a lift with my family or friends because i have health issues that make it difficult to use public transport and the car is more comfortable for me i also get nervous using public transportation by myself,public_transit
the best way to get around the city closest to me is by bus they have routes to just about everywhere in town that you would need to go andthe buses are also quite frequent running every 1525 minutes so you never have to wait too long i prefer it personally also as the journeys are capped at £3 so its much cheaper than getting a taxi and also they have an app where you can live track the buses and also pay for your ticket on it which makes it so easy,public_transit
i use drive services more and more as someone who works remotely a car is the only effective way to get around most places here i also enjoy riding a bicycle but its not practical for most places so cardriver services like uber are the best,rideshare
i prefer getting around my city by car as not all areas are covered by public transport and some really good nature spots on the outskirts can only be accessed by driving i also prefer it as it it the fastest and cheapest method in my opinion,public_transit
i prefer driving around my city because its more convenient and i can make multiple stops,NA
my own vehicle as i can go where i want and take the route i want,NA
being in a small city the best way for me to get around in in my own vehicle it is convenient,NA
the bus because its cheap and so i dont have to try and park anywhere,public_transit
my ideal way is usually going through routes that are less busy because i want to try my best to avoid traffic,public_transit
by trainunderground or overgound bus and cycling its simply the easiest and fastest and quite cheap too,public_transit
for short trips i prefer to drive for longer trips i prefer to ride with a friend or other,rideshare
i like to use public transport and walk its a lot easier and cheaper then my own vehicle,public_transit
my area the best way to get around for me is by car theres not much much public transportation around everything where i live is very spread out its like a giant suburb to even get to a bus stop i think i have to walk like at least a mile but i have my own car so im good,NA
my ideal way to get around my city is by driving because it gives me the most flexibility i can travel direct to my destination and i am not time limited to catch a bus i enjoy having my own private space and feel less stressful,NA
i personally love a mixture of walking and public transit often driving can be more comfortable or convenient but parking can be expensive and time consuming to obtain so transit is much more viable in most cases for me,public_transit
i rely on my vehicle and it is my primary form of transportation where i live the bus system is out of the question due to safety concerns and though i do enjoy certain trails and paths for biking they are speciic and for recreation not for daily transport there are no rail systems where i live except in the downtown area which is irrelevant to me,rideshare
i think the ideal way is to travel via bus the bus routes in my city are very well developed and extensive so you can get pretty much anywhere by bus the buses are a lock quicker than cars or ride share platforms because of the bus lanes that are on a lot of the roads i also think it is better for the environment to use public transport when possible i actually enjoy taking the bus as well as it gives me a chance to relax and listen to my music,public_transit
i live in an urban area of a large city my preferred way to get around is to walk if something is within 2030 minutes of walking distance and the weather is agreeable this allows me to enjoy the surroundings and feel like i am part of city life,rideshare
my ideal way to get around a city is by train i prefer it because someone else is driving and that allows me to not get frustrated from other drivers behavioractions on the road i prefer it because its the most efficient system to move a lot of people at once and it has so many other cascading benefits i wish we had a richly developed train system in cities and to other major cities it would be life changing for society if the us had a train system like japan does,rideshare
walking it is good for me to keep fit,public_transit
when i am late i prefer using an uber to get me through the city but if i have most time i use public transport sometimes i use my car often when i am aware roads are not jammed with traffic,public_transit
ideally i would like to take efficient public transport as i like to trave without feeling tied to a personal vehicle i especially like being able to walk to my destinations quickly as it makes things feel much more accessible however if a city has bad public transport i would most likely prefer a car as i would feel more in control,public_transit
my favourite way is biking around the city its fast and easy while also getting a workout in and my second way would be taking the public transit,public_transit
other than a personal vehicle walking is probably the best way to get around in my small downtown area you could take a short 1 mile uber ride if you ad to,NA
i prefer driving my own car i like the personal freedom having access to my personal belongings and it just gives me a sense of independence that i dont get with personal transportation,NA
i like to drive in my car to get around my city because my city is designed to be very easy to drive in there are not a lot of complicated road structures or areas in my city so driving is very easy compared to other cities,rideshare
i will order an uber ride if the destination is far i also would take a bus if the distance is not too far,NA
it depends on how far i have to travel if its just a short distance then i prefer to walk most places are accessible this way and i generally enjoy walking it gives me time to think otherwise i will usually just use my car and drive to where i need to go  i use a train for longer distances and an uber when i cant use my car,rideshare
i prefer the bus its affordable and not over cramped,public_transit
i am in las vegas this is a drivingcar city public transportation is too slow it is hot during the summer months so you can get heatstroke just waiting at a bus stop a drunk driver totaled my car years ago i never bought another car and i live in chronic physical pain with vehicular anxiety just riding in cars so i prefer to not be in vehicles i sometimes take rideshares and i used to drive rideshares before the crash driving rideshares is a great way to meet people and also per the previous question talk with new people and network,rideshare
the ideal way is to use the bus as being a pensioner it is free going by car may be quicker but it incurs fuel and parking charges going by bus is also stress free and relaxing,public_transit
mostly by buses and trains is very convenient to get around my city,public_transit
personally i prefer to drive myself i like the freedom to go where and when i want though there is something to be said for the relaxing nature of a bus when its not too full,public_transit
my ideal way to get around my city is by public transportation because it is affordable convenient and reduce traffic it also allows me to relax instead of focusing on driving,rideshare
by busyou can relax and take in all the sites that you never see when driving or walking,public_transit
i am a great believer in using my own horse power for getting around a lot of the time that is walking because whilst walking you can see and appreciate your surroundings in a calm way without the irritations of traffic or being stuck in a car which would distract you from the beauty around you if i dont walk i will tend to cycle as much as possible because being in the open and fresh air you are getting exercise benefiting your health and helping the environment too,public_transit
i like to walk because it i can see more i can burn more calories,NA
i prefer driving myself since i own my own car and its more convenient as well as efficient it saves time is the most flexible option i like being able to go wherever i need without having to depend on anyone else,NA
i prefer to get around by car but i have to rely on my housemate to drive me so i mostly use services like doordash to do my shopping and only ask my housemate for help when its for something i cant order online,NA
"my ideal is a multimodal network frequent light rail and bus rapid transit as the spine with protected bike lanes and wide sidewalks for short trips all integrated into a single taptopay app i prefer it because it cuts transport costs reduces emissions connects all neighborhoods equitably and builds daily exercise into commutes protected bike lanes lower stress and reliable transit makes car ownership optional this system prioritizes people over parking turning streets into public spaces and making travel predictable affordable and healthier for everyone

",NA
i typically prefer walking as i no long have access to my bike as it was stolen i also take the train as it is convenient  affordable compared to talking rideshare i live in a city that is walkable  has high access to public transportation,public_transit
i love walking in my city because its very walkable and friendly its also easy to ride a bike which are my two favorite ways to get around the city,rideshare
in my case the best combination involves the use of public transport and walking using public transport means that there will be no pressure related to parking whereas walking enables me to breathe fresh air and do some physical activity,public_transit
i prefer to drive into our local town as its a 15 minute drive then spend a few hours walking around before driving back home,public_transit
i would prefer walking but everything is spread out where it is,public_transit
i think it depends i have a good bus route between my house and my work so for work i prefer that sometimes if im not in a hurry ill use the bus to run errands but if im in a hurry and my husband has the car ill use uber or lyft,public_transit
in a city like mine a large metropolitan city with 25 million people the easiest way to get around the city is to take the trains buses and walking its honeslty the best way to get around because the streets are straight cheeks limited space and have to pay to park everywhere,public_transit
my city is fairly walkable so i do prefer to walk most of the time at least in any season thats not winter i also value getting sunlight so walking for thirty minutes is appealing to me if the distance is far enough there is a reliable train service its typically clean and safe so i have no problem riding it,public_transit
using a shared ride moving  around makes me have a better experience,public_transit
around the city in small distances riding a bicycle is very nice for longer distances taking a metro is best as it is fast and on time when you want to see the city and its features you can take  a bus or tram and make sure you sit next to a window to be able to see the outside,public_transit
my ideal way to travel around is by cycling as its the quickest and most efficient,public_transit
i like to have some key points that i know i want to see but also like natural exploration to come forth as well,rideshare
my ideal way to get around my city is to use the train mainly as the ride is far more comfortable and faster than travelling by bus and cheaper than travelling by car it is also much less likely to be delayed than other transport in my experience and is ofen safer and cleaner than other public transport options it is the one transport method you can relax in fully and switch your mind off,NA
"i like to make a mental note of the places of interest that id like to visit and then brig up a map that shows how close they are in relation to each other
if i feel that it is too long a distance to walk i would hail an uber to take me the rest of the way i do think tht walking as much as possible gives you a real feel for the city and the people who livee there you can take in more sights and smells and atmosphere when walking",public_transit
i like taking the subway i find the ride relaxing even though there are other people everybody mind their own business when im out and about i like to walk its excellent exercise and pretty straight forward because most areas are laid out like a grid,public_transit
my ideal way to around a  city is by using a combination of walking public transportation and cycling depending on the distance and purpose of the trip i like this approach because it is practical and environmental friendly and allows me to experience the city more closely than i would from inside a car,NA
i like getting lime bikes electric bikes especially if im in central london,public_transit
local bus or walking usually the latter once i get to the city,public_transit
i prefer to go in a bus or in a train,public_transit
