q_advice_text,biggest_fear
dont do things you dont want to do,solo_apprehension
just remember that they are probably just as nervous as you are and that they are just a person like you,group_apprehension
just be yourself no one can blame you for being yourself,group_apprehension
dont overthink the conversation the person youre talking to isnt judging you and is just wanting to get to know you,group_apprehension
i would tell my friend that its completely normal to feel nervous when meeting new people they could start with simple conversations such as asking about hobbies or school and remember that most people are friendly the more they practice the more confident they will become so they shouldnt be too hard on themselves,solo_apprehension
i would tell them to try and connect to the person with something that the both of you enjoy  better yet ask or find out what they enjoy makes conversation much easier,solo_apprehension
imagine the audiences are all your friends and they dont care if you make wrong,solo_apprehension
i try to find out as many interesting things about them as possible so i look at each interaction as a chance to find something fascinating i also remind myself many people do not feel comfortable talking to new people either so my goal is always to make them as comfortable as possible,NA
prepare in advance and practice more,solo_apprehension
i would tell them that if they believe that other people will perceive them as being uninteresting or weird that other people arent that concerned with finding out other peoples negative qualities and are just fine with meeting and talking to new people they should try to have some confidence in order to help other people warm up to them confidence does not have to mean extreme extraversion or showboating just try to act casual and that interacting with new people is normal for you,solo_apprehension
to take a second to calm down and to pretend they are talking to a family member or a close friend,solo_apprehension
first advice is to take a deep breath and the second is to remember that our main task is to share useful information not to be afraid of making mistakes,solo_apprehension
i would advise them to treat the new people like a friend they already know,solo_apprehension
i would tell them not that others are nervous too do dont stress too much and just be yourself,group_apprehension
i would say just treat everyone the same try not to feel intimidated by them they are just people equal to you,group_apprehension
just be yourself and dont worry so much try and live in the moment,solo_apprehension
to treat the new person as someone they already know and that they also feel the same way about being nervous,group_apprehension
relax and consider that they may be nervous too try to keep it light and easy generic conversation topics,solo_apprehension
practice small talk remember that thoughts are not facts,solo_apprehension
i would tell them that its also the new peoples first time talking to them so they are probably nervous too,solo_apprehension
try to understand that everyone feels a bit nervous about new relationships,solo_apprehension
that there is nothing wrong with that everyone is different,group_apprehension
tell them to take a deep breath relax and try to be themselves talk about things they care about and are interested about and take an interest in the other person,solo_apprehension
just pretend that youve known them for a while and have no expectations,group_apprehension
relax and remain calm and practice learning to communicate with others more often,solo_apprehension
i would tell them to start with small talk to feel more comfortable or try out some icebreakers,group_apprehension
i would suggest that they imagine that theyre talking to a friend or family member and dont worry about who theyre talking to,group_apprehension
take a deep breath and just be yourself say what you feel it isnt the end of the world,group_apprehension
to remind yourself that the other person is probably just as nervous of you too,group_apprehension
i would tell them to just practice talking to strangers when youre out shopping and places like that,NA
i would tell them to take some deep breaths and make sure they are relaxed before beginning the conversation i would tell them to pretend like it is somebody they know already and imagine they are talking to them the whole time this will hopefully make them feel confident,solo_apprehension
i would tell them you only live once and most people are actually too busy thinking about themselves to be thinking about you,group_apprehension
i would say to take a deep breath in and exhale do that a couple of times to bring tre anxity and stress levels down then wait for an opportunity to join the conversation and just get invovled,solo_apprehension
remind them that they are just talking to other people  and to try to be themselves,group_apprehension
to relax and not overthink it since all you want to do is be your own self,solo_apprehension
i would tell them to take deep breaths before a conversation and remember other people are nervous as well they are not alone,NA
that they are likely just as nervous and that being nervous wont enhance you in any way so just be you as thats the best you can be,solo_apprehension
i would tell them to try to be confident in how they feel about themselves and how they speak,solo_apprehension
i would tell them that the other person is also slightly nervous as well and you both probably want to get to know each other in that moment,solo_apprehension
just remember we are our own hardest critics and people are generally thinking more about themselves than they are about you,NA
"i would tell
them not to worry i have that aswell and breathing excersiees can help alot aswell as inhaling lavender oil",group_apprehension
i would tell them not to be that there is not reason for being nervous people are people,solo_apprehension
id assuer them of their value and likeability and that they will make a good impression,solo_apprehension
the other person likely wont be thinking as deeply about the interaction as they are,group_apprehension
remember the other person is focusing on themselves too instead of judging you,NA
relax as much as possible and try not to worry what they think of you dont overthink,solo_apprehension
just go with the flow and act natural,solo_apprehension
focus on questions about the other person people love to talk about themselves so it makes it easier and all you have to do is listen,solo_apprehension
just breath and be yourself listen to what others are saying and speak when it seems like a good chance,group_apprehension
i would tell them to just take it easy and that everyone feels that way sometimes,NA
i would tell them to just be themselves and relaxthe other people are probably a bit nervous too,group_apprehension
it would be that it really doesnt matter at all no one cares about anything really except themselves so just go ahead and do what you want to do,group_apprehension
ask questions and genuinely be curious i think its really easy to be nervous about knowing what you shouldshouldnt say to a stranger if you can take the pressure off yourself and ask other people questions instead it can make things so much easier  and then if you can find something you have in common its even easier,solo_apprehension
just do it it will never get easier if you dont practice,solo_apprehension
try to remember that everyone gets nervous but that everyone regardless of status is a human we all have families and homes and lives outside of our role or status plus everyone poos,group_apprehension
relax and imagine they are talking to a group of friends,solo_apprehension
i wouldnt use the old saying of try to picture everybody naked because that was a distraction  id just say to try and find a moment of conversation with a subject you know you feel good about and knowledgeable and try jumping in there,group_apprehension
id tell them to understand that everyone is nervous to a degree so most people they talk to will be able to empathise with them,solo_apprehension
i would say to be yourself i think that is thoughtful and meaningful enough,group_apprehension
remind them they are just as good as anyone else and tell them they are brave,group_apprehension
approach the conversation with curiosity instead of focus focusing on yourself to do this ask openend questions and listen for something you can build on in their response  its also ok to start small as a deep conversation wont happen right off the bat,NA
id tell them to be kind to themselves and think about it as a physical response that is pretty common for people to deal with and something that can be improved,solo_apprehension
stand up to your fears and gather up the courage to talk to someone it will improve your people skills in the long run,solo_apprehension
i would tell them to practice speaking through phone calls or to a camera and remember no one is judging them or trying to make them feel uncomfortable i think the best way to practice is through exposure start small and work your way up,solo_apprehension
just breath because the other person is probably also not completely comfortable,solo_apprehension
id tell them that no one is judging you as much as you think they are theyre also just trying to get on with things and not make a fool of themselves,solo_apprehension
remember they are humans too take a couple of deep breaths before starting,solo_apprehension
that it just takes time to grow in confidence to get rid of the nervousness and too start small with only acquaintances of friends and not full strangers,NA
just take some deep breaths and talk about things you know and are comfortable with,solo_apprehension
i totally understand that feeling i think its important to remember that the other person might be feeling just as nervous as you are just do your best to be yourself and you will be fine,group_apprehension
i would tell them to imagine that all people regardless of who they are are no better than anyone else the person you are talking to is probably just as nervous as you are so in that you are already alike,group_apprehension
i would tell them that its okay to be nervous that the important thing is to push through that discomfort and communicate anyway the way we learn and grow as human beings is through exposure to other human beings,solo_apprehension
just take it slow try to formulate your thoughts and think before speaking so you wont make a mistake if you speak without thinking you could make a wrong first impression and could rub people the wrong way,group_apprehension
i would tell them to try and relax and not overthink what is being said  do not over compensate for silence either as that makes the situation even harder to manage be yourself and try not too focus too much on thinking about what to say let it flow naturally,solo_apprehension
my advice would be to stand talk and act confident the other individual that you are talking to are more than likely feeling just as nervous as you are after the conversation gets flowing you will soon feel relaxed,group_apprehension
hello that is normal for someone to feel i think the best way is to start being involved in small group talks and they get bigger with time as your courage grows more and more,solo_apprehension
i would recommend they not put so much pressure on the conversation if it doesnt go well you dont likely have to every see that person again,solo_apprehension
i would say they should just try to imagine the new person as someone that is not a stranger then the conversation will flow easily,solo_apprehension
id tell them that refusing to act upon the urge to talk when its the right moment to do so will be something they regret since im talking from experience,solo_apprehension
keep calm and just be yourself everyone is here to make you feel comfortable,group_apprehension
my friend needs to master courage and air his or her opinions not being scared,solo_apprehension
keep in mind that youre new to them too and that they have real no expections of you to be any certain way it always helps me to imagine im coloring on a blank piece of paper when i talk to new people and how much i contribute and what color i use is up to me and comparable to nothing else on the paper,NA
id tell them to remember that many of the things were thinking during the conversation are likely not even what others are thinking about them,group_apprehension
be yourself theyre probably just as nervous meeting you,group_apprehension
just pretend to be bolder than you are act like youre confident and that you already know these people like old friends fake it till you make it,NA
i would tell them that feeling nervous around new people is very common and doesnt mean anything is wrong with them most people are focused on their own thoughts and are usually happy when someone starts a friendly conversation i will give them the tips i use help them build their confidence and encourage them,group_apprehension
i would suggest that they consider that old saying feel the fear and do it anyway,solo_apprehension
try not to worry so much about how youre being perceived chances are the other people are also paying attention to themselves and how theyre coming off theyre not looking to judge you,solo_apprehension
just remind yourself they may be nervous as well just be yourself and try to focus on asking questions about them or sticking to whatever the topic is,group_apprehension
i would tell them that the only thing that is stopping them is themselves ignore how other people are going to perceive you,group_apprehension
i would suggest that they practice it by talking to new people at work as i feel thats a more easier situation to talking to new people as you dont have to think of a random topic it can just be work related,group_apprehension
to apply cbt techniques and incrementally improve your exposure to increasingly difficult social situations and generally get yourself out there more and go out of your comfort zone and make it a regular thing to speak to new people so that it becomes apart of your routine,group_apprehension
i would advice them to start with people around them like maybe introduce them to my friends and see how it goes,solo_apprehension
everyone is their own person having their own experience getting to know each other and having genuine human interaction is what being alive is all about even if youre nervous its ok someone else might be nervous too once you get talking itll get easier and youll learn more about other people and about yourself during the experience,solo_apprehension
stay calm and rela as eveything does not require pressure and anxiety to achieve,solo_apprehension
just ask them questions about themselves and listen to what theyre actually saying and ask followups people love talking about themselves and the longer theyre talking the less you have to talk,group_apprehension
to be yourself and feel confident with your opinion come across as friendly and hopefully the other person will feel more at ease which should make for a more relaxed conversation,group_apprehension
as a nervous person myself it is very difficult to become less nervous however taking deep breaths closing my eyes for a bit and  rehearsing  the upcoming conversation helps a little,group_apprehension
i get it but the worstcase scenario isnt that bad speak when you have something to say and be quiet when youre not feeling it,solo_apprehension
to remember that the other individual probably feels nervous too we have feelings to support and guide us if they are nervous that is because it is important to them so they should lean into that feeling and use it to their advantage,solo_apprehension
id advise them to ask new people questions to learn more about them people generally like to talk about themselves that would take the pressure off of yourself and make you an interesting conversationalist,solo_apprehension
let them know that most people feel like this to overcome this they should start off with small low pressure interactions,group_apprehension
i would say for one thing keep it simple  to start from a secure place is helpful and by keeping it simple your nervousness can be assuaged to a degree,solo_apprehension
i would tell them that public speaking is like a muscle the more you do it the easier it becomes,group_apprehension
i would say they might also be nervous but its important to speak to new people because you can learn something from them or they could brighten your day i would say that it is ok and normal to be nervous but talk to them regardless,group_apprehension
i would advise them to just take a deep breath before engaging and then just have a few questions already thought of to ask the other person this is a good way to keep engaged in the conversation and get to know new people without having to speak too much yourself i would also remind them that the other person could be just as nervous and to not put too much pressure on yourself the majority of people are easy to get along with and will accept you for who you are,NA
i would tell them to try to fake confidence its ok to not respond to everything shift a conversation towards a topic you feel comfortable with or inject small talk in to break the silence,solo_apprehension
